symbol,company,case_window,case_type,reported_market_cap_usd_m,reported_controlled_or_case_shares_m,reported_sell_volume_m,collapse_drop_pct,low_price_flag,thin_float_or_share_supply_flag,social_channel_flag,fake_advisor_impersonation_flag,same_day_or_fast_dump_flag,platform,message_summary,primary_source,notes,illustrative_risk_score,risk_band
CLEU/CLEUF,China Liberal Education Holdings,Jan 2025,Ramp-and-dump / fake advisor investment club,228.0,33.9,31.49,98.1,1,1,1,1,1,WhatsApp / social media,"Promised up to 380% return, M&A story, buy-price instructions, U.S.-advisor impersonation",https://www.justice.gov/usao-ndil/media/1394111/dl?inline=,Official DOJ civil forfeiture complaint; market-cap figure was based on public-source share count before later share-count disclosure.,100,Restricted
OST,Ostin Technology Group,Apr-Jun 2025,Pump-and-dump / social media campaign,,70.0,,94.1,1,1,1,1,1,Social media / alleged identity misuse,"Coordinated social-media campaign; DOJ alleged non-bona-fide transfers and dumping; FBI reported $9.40 high to $0.55 close on June 26, 2025",https://www.justice.gov/opa/pr/co-ceo-chinese-publicly-traded-technology-company-and-financial-advisor-indicted-over-100m,Indictment allegations; defendants presumed innocent unless proven guilty.,100,Restricted
CEI,Camber Energy,Aug-Oct 2021,Atlas Trading alleged social-media scalping,,2.18,2.07,,1,1,1,0,1,Twitter / Discord / podcast,"Promoted as swing, cheap, $2+, $3–5, $10+ while alleged selling occurred into follower demand",https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations.,85,Restricted
ALZN,Alzamend Neuro,Jun 2021,Atlas Trading alleged social-media scalping,,,,,0,1,1,0,1,Twitter / Discord / podcast,"Promoted as large swing position, new highs, $12 target, drug-market upside narrative",https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations; feature values require event-window market-data reconstruction.,70,High Risk
VISL,Vislink Technologies,Mar 2021,Atlas Trading alleged social-media scalping,116.0,0.406,0.156,,1,1,1,0,1,Twitter / Discord / podcast,"Promoted around CEO interview, ESPN/radio, Starlink, after-hours gapper, no-debt thesis",https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations; historical market cap from public market-cap history table.,85,Restricted
TRCH/MMAT,Torchlight Energy Resources / Meta Materials,Feb 2021,Atlas Trading alleged social-media scalping,,0.798,,,1,1,1,0,1,Twitter / Discord / podcast,"Promoted via merger, dividend, Tesla rumor, COVID-angle, and $10B-market-cap narrative",https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations.,85,Restricted
ABVC,ABVC BioPharma,Aug 2021,Atlas Trading alleged social-media scalping,87.6,0.282,0.282,,0,1,1,0,1,Twitter / Discord / podcast,Promoted as $4/$4.50 breakout and long $6+++ while alleged same-day liquidation occurred,https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations; historical market cap from public market-cap history table.,70,High Risk
AREC,American Resources Corp.,Mar 2021,Atlas Trading alleged social-media scalping,,,,,0,1,1,0,1,Twitter / Discord / podcast,Promoter allegedly claimed loss while complaint alleged profitable selling around the same promotion window,https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations.,70,High Risk
HUGE,FSD Pharma,Feb 2021,Atlas Trading alleged social-media scalping,,,,,0,1,1,0,1,Twitter / Discord / podcast,"Promoter allegedly said he took the loss, while complaint alleged profitable dumping that day",https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations.,70,High Risk
GTT,GTT Communications,Mar 2021,Atlas Trading alleged social-media scalping / private call mechanics,,,,,0,1,1,0,1,Twitter / Discord / private call,"Private call allegedly discussed repeated hype loop, follower demand, and dump mechanics",https://www.sec.gov/files/litigation/complaints/2022/comp-pr2022-221.pdf,SEC civil complaint allegations; company later delisted from NYSE in 2021 according to complaint footnote.,70,High Risk
